[run number],start-fire,slow-fire-spread,people-speed,ticks,deaths,exited
198,0,4,0.5,51,0,220
199,0,4,0.5,50,0,220
200,0,4,0.5,51,0,220
201,10,1,0.1,172,89,131
202,10,1,0.1,172,81,139
203,10,1,0.1,172,77,143
204,10,1,0.1,172,84,136
205,10,1,0.1,172,80,140
206,10,1,0.1,200,83,137
207,10,1,0.1,172,85,135
208,10,1,0.1,172,75,145
209,10,1,0.1,172,75,145
210,10,1,0.1,197,88,132
211,10,1,0.2,101,45,175
212,10,1,0.2,101,41,179
213,10,1,0.2,110,38,182
214,10,1,0.2,101,37,183
215,10,1,0.2,99,46,174
216,10,1,0.2,103,45,175
217,10,1,0.2,101,50,170
218,10,1,0.2,101,43,177
219,10,1,0.2,101,50,170
220,10,1,0.2,103,42,178
221,10,1,0.3,77,15,205
222,10,1,0.3,77,14,206
223,10,1,0.3,77,16,204
224,10,1,0.3,77,15,205
225,10,1,0.3,77,18,202
226,10,1,0.3,77,19,201
227,10,1,0.3,77,18,202
228,10,1,0.3,77,14,206
229,10,1,0.3,77,9,211
230,10,1,0.3,77,17,203
231,10,1,0.4,58,1,219
232,10,1,0.4,59,1,219
233,10,1,0.4,61,1,219
234,10,1,0.4,60,2,218
235,10,1,0.4,61,2,218
236,10,1,0.4,60,1,219
237,10,1,0.4,58,2,218
238,10,1,0.4,58,2,218
239,10,1,0.4,58,0,220
240,10,1,0.4,59,0,220
241,10,1,0.5,51,0,220
242,10,1,0.5,51,0,220
243,10,1,0.5,50,0,220
244,10,1,0.5,51,0,220
245,10,1,0.5,51,0,220
246,10,1,0.5,51,0,220
247,10,1,0.5,51,0,220
248,10,1,0.5,51,0,220
249,10,1,0.5,51,0,220
250,10,1,0.5,51,0,220
251,10,2,0.1,189,43,177
252,10,2,0.1,189,33,187
253,10,2,0.1,194,50,170
254,10,2,0.1,190,39,181
255,10,2,0.1,191,49,171
256,10,2,0.1,191,36,184
257,10,2,0.1,188,47,173
258,10,2,0.1,188,46,174
259,10,2,0.1,193,39,181
260,10,2,0.1,189,50,170
261,10,2,0.2,115,8,212
262,10,2,0.2,115,1,219
263,10,2,0.2,115,4,216
264,10,2,0.2,115,1,219
265,10,2,0.2,115,2,218
266,10,2,0.2,115,3,217
267,10,2,0.2,115,3,217
268,10,2,0.2,115,2,218
269,10,2,0.2,115,2,218
270,10,2,0.2,115,2,218
271,10,2,0.3,83,0,220
272,10,2,0.3,83,0,220
273,10,2,0.3,83,0,220
274,10,2,0.3,83,0,220
275,10,2,0.3,83,0,220
276,10,2,0.3,83,0,220
277,10,2,0.3,83,0,220
278,10,2,0.3,83,0,220
279,10,2,0.3,83,0,220
280,10,2,0.3,83,0,220
281,10,2,0.4,63,0,220
282,10,2,0.4,63,0,220
283,10,2,0.4,63,0,220
284,10,2,0.4,63,0,220
285,10,2,0.4,63,0,220
286,10,2,0.4,63,0,220
287,10,2,0.4,63,0,220
288,10,2,0.4,63,0,220
289,10,2,0.4,63,0,220
290,10,2,0.4,63,0,220
291,10,2,0.5,50,0,220
292,10,2,0.5,51,0,220
293,10,2,0.5,51,0,220
294,10,2,0.5,51,0,220
295,10,2,0.5,51,0,220
296,10,2,0.5,50,0,220
297,10,2,0.5,51,0,220
298,10,2,0.5,51,0,220
299,10,2,0.5,50,0,220
300,10,2,0.5,51,0,220
301,10,3,0.1,228,25,195
302,10,3,0.1,228,21,199
303,10,3,0.1,228,24,196
304,10,3,0.1,228,27,193
305,10,3,0.1,228,12,208
306,10,3,0.1,228,13,207
307,10,3,0.1,228,19,201
308,10,3,0.1,228,16,204
309,10,3,0.1,228,24,196
310,10,3,0.1,228,19,201
311,10,3,0.2,124,0,220
312,10,3,0.2,124,0,220
313,10,3,0.2,124,0,220
314,10,3,0.2,124,0,220
315,10,3,0.2,124,0,220
316,10,3,0.2,124,0,220
317,10,3,0.2,124,0,220
318,10,3,0.2,124,0,220
319,10,3,0.2,124,0,220
320,10,3,0.2,124,0,220
321,10,3,0.3,83,0,220
322,10,3,0.3,83,0,220
323,10,3,0.3,83,0,220
324,10,3,0.3,83,0,220
325,10,3,0.3,83,0,220
326,10,3,0.3,83,0,220
327,10,3,0.3,83,0,220
328,10,3,0.3,83,0,220
329,10,3,0.3,83,0,220
330,10,3,0.3,83,0,220
331,10,3,0.4,63,0,220
332,10,3,0.4,63,0,220
333,10,3,0.4,63,0,220
334,10,3,0.4,63,0,220
335,10,3,0.4,63,0,220
336,10,3,0.4,63,0,220
337,10,3,0.4,63,0,220
338,10,3,0.4,63,0,220
339,10,3,0.4,63,0,220
340,10,3,0.4,63,0,220
341,10,3,0.5,51,0,220
342,10,3,0.5,50,0,220
343,10,3,0.5,51,0,220
344,10,3,0.5,50,0,220
345,10,3,0.5,50,0,220
346,10,3,0.5,51,0,220
347,10,3,0.5,51,0,220
348,10,3,0.5,51,0,220
349,10,3,0.5,51,0,220
350,10,3,0.5,51,0,220
351,10,4,0.1,228,6,214
352,10,4,0.1,228,4,216
353,10,4,0.1,228,3,217
354,10,4,0.1,228,4,216
355,10,4,0.1,228,4,216
356,10,4,0.1,228,7,213
357,10,4,0.1,228,4,216
358,10,4,0.1,228,5,215
359,10,4,0.1,228,2,218
360,10,4,0.1,228,3,217
361,10,4,0.2,124,0,220
362,10,4,0.2,124,0,220
363,10,4,0.2,124,0,220
364,10,4,0.2,124,0,220
365,10,4,0.2,124,0,220
366,10,4,0.2,124,0,220
367,10,4,0.2,124,0,220
368,10,4,0.2,124,0,220
369,10,4,0.2,124,0,220
370,10,4,0.2,124,0,220
371,10,4,0.3,83,0,220
372,10,4,0.3,83,0,220
373,10,4,0.3,83,0,220
374,10,4,0.3,83,0,220
375,10,4,0.3,83,0,220
376,10,4,0.3,83,0,220
377,10,4,0.3,83,0,220
378,10,4,0.3,83,0,220
379,10,4,0.3,83,0,220
380,10,4,0.3,83,0,220
381,10,4,0.4,63,0,220
382,10,4,0.4,63,0,220
383,10,4,0.4,63,0,220
384,10,4,0.4,63,0,220
385,10,4,0.4,63,0,220
386,10,4,0.4,63,0,220
387,10,4,0.4,63,0,220
388,10,4,0.4,63,0,220
389,10,4,0.4,63,0,220
390,10,4,0.4,63,0,220
391,10,4,0.5,50,0,220
392,10,4,0.5,51,0,220
393,10,4,0.5,50,0,220
394,10,4,0.5,51,0,220
395,10,4,0.5,51,0,220
396,10,4,0.5,51,0,220
397,10,4,0.5,51,0,220
398,10,4,0.5,51,0,220
399,10,4,0.5,51,0,220
400,10,4,0.5,51,0,220
401,20,1,0.1,172,73,147
402,20,1,0.1,172,68,152
403,20,1,0.1,172,73,147
404,20,1,0.1,172,70,150
405,20,1,0.1,172,81,139
406,20,1,0.1,172,76,144
407,20,1,0.1,172,85,135
408,20,1,0.1,213,71,149
409,20,1,0.1,172,71,149
410,20,1,0.1,172,81,139
411,20,1,0.2,107,34,186
412,20,1,0.2,111,34,186
413,20,1,0.2,107,30,190
414,20,1,0.2,107,39,181
415,20,1,0.2,111,30,190
416,20,1,0.2,111,38,182
417,20,1,0.2,107,30,190
418,20,1,0.2,110,33,187
419,20,1,0.2,111,36,184
420,20,1,0.2,111,34,186
421,20,1,0.3,77,4,216
422,20,1,0.3,79,3,217
423,20,1,0.3,79,7,213
424,20,1,0.3,80,5,215
425,20,1,0.3,79,3,217
426,20,1,0.3,79,5,215
427,20,1,0.3,79,6,214
428,20,1,0.3,78,6,214
429,20,1,0.3,79,6,214
430,20,1,0.3,79,4,216
431,20,1,0.4,63,0,220
432,20,1,0.4,63,0,220
433,20,1,0.4,63,0,220
434,20,1,0.4,63,0,220
435,20,1,0.4,63,0,220
436,20,1,0.4,63,0,220
437,20,1,0.4,63,0,220
438,20,1,0.4,63,0,220
439,20,1,0.4,63,0,220
440,20,1,0.4,63,0,220
441,20,1,0.5,51,0,220
442,20,1,0.5,50,0,220
443,20,1,0.5,50,0,220
444,20,1,0.5,51,0,220
445,20,1,0.5,50,0,220
446,20,1,0.5,51,0,220
447,20,1,0.5,51,0,220
448,20,1,0.5,51,0,220
449,20,1,0.5,51,0,220
450,20,1,0.5,50,0,220
451,20,2,0.1,201,44,176
452,20,2,0.1,202,33,187
453,20,2,0.1,202,42,178
454,20,2,0.1,201,36,184
455,20,2,0.1,201,38,182
456,20,2,0.1,197,55,165
457,20,2,0.1,202,38,182
458,20,2,0.1,203,35,185
459,20,2,0.1,202,43,177
460,20,2,0.1,201,33,187
461,20,2,0.2,115,2,218
462,20,2,0.2,118,0,220
463,20,2,0.2,116,2,218
464,20,2,0.2,116,0,220
465,20,2,0.2,120,0,220
466,20,2,0.2,116,2,218
467,20,2,0.2,115,1,219
468,20,2,0.2,116,1,219
469,20,2,0.2,115,0,220
470,20,2,0.2,115,2,218
471,20,2,0.3,83,0,220
472,20,2,0.3,83,0,220
473,20,2,0.3,83,0,220
474,20,2,0.3,83,0,220
475,20,2,0.3,83,0,220
476,20,2,0.3,83,0,220
477,20,2,0.3,83,0,220
478,20,2,0.3,83,0,220
479,20,2,0.3,83,0,220
480,20,2,0.3,83,0,220
481,20,2,0.4,63,0,220
482,20,2,0.4,63,0,220
483,20,2,0.4,63,0,220
484,20,2,0.4,63,0,220
485,20,2,0.4,63,0,220
486,20,2,0.4,63,0,220
487,20,2,0.4,63,0,220
488,20,2,0.4,63,0,220
489,20,2,0.4,63,0,220
490,20,2,0.4,63,0,220
491,20,2,0.5,51,0,220
492,20,2,0.5,51,0,220
493,20,2,0.5,50,0,220
494,20,2,0.5,51,0,220
495,20,2,0.5,51,0,220
496,20,2,0.5,51,0,220
497,20,2,0.5,50,0,220
498,20,2,0.5,50,0,220
499,20,2,0.5,50,0,220
500,20,2,0.5,51,0,220
501,20,3,0.1,228,13,207
502,20,3,0.1,228,14,206
503,20,3,0.1,228,14,206
504,20,3,0.1,228,14,206
505,20,3,0.1,228,15,205
506,20,3,0.1,228,23,197
507,20,3,0.1,228,16,204
508,20,3,0.1,228,12,208
509,20,3,0.1,228,13,207
510,20,3,0.1,228,12,208
511,20,3,0.2,124,0,220
512,20,3,0.2,124,0,220
513,20,3,0.2,124,0,220
514,20,3,0.2,124,0,220
515,20,3,0.2,124,0,220
516,20,3,0.2,124,0,220
517,20,3,0.2,124,0,220
518,20,3,0.2,124,0,220
519,20,3,0.2,124,0,220
520,20,3,0.2,124,0,220
521,20,3,0.3,83,0,220
522,20,3,0.3,83,0,220
523,20,3,0.3,83,0,220
524,20,3,0.3,83,0,220
525,20,3,0.3,83,0,220
526,20,3,0.3,83,0,220
527,20,3,0.3,83,0,220
528,20,3,0.3,83,0,220
529,20,3,0.3,83,0,220
530,20,3,0.3,83,0,220
531,20,3,0.4,63,0,220
532,20,3,0.4,63,0,220
533,20,3,0.4,63,0,220
534,20,3,0.4,63,0,220
535,20,3,0.4,63,0,220
536,20,3,0.4,63,0,220
537,20,3,0.4,63,0,220
538,20,3,0.4,63,0,220
539,20,3,0.4,63,0,220
540,20,3,0.4,63,0,220
541,20,3,0.5,50,0,220
542,20,3,0.5,50,0,220
543,20,3,0.5,51,0,220
544,20,3,0.5,51,0,220
545,20,3,0.5,51,0,220
546,20,3,0.5,50,0,220
547,20,3,0.5,51,0,220
548,20,3,0.5,51,0,220
549,20,3,0.5,51,0,220
550,20,3,0.5,51,0,220
551,20,4,0.1,228,2,218
552,20,4,0.1,228,4,216
553,20,4,0.1,228,2,218
554,20,4,0.1,228,5,215
555,20,4,0.1,228,4,216
556,20,4,0.1,228,1,219
557,20,4,0.1,228,4,216
558,20,4,0.1,228,4,216
559,20,4,0.1,228,3,217
560,20,4,0.1,228,9,211
561,20,4,0.2,124,0,220
562,20,4,0.2,124,0,220
563,20,4,0.2,124,0,220
564,20,4,0.2,124,0,220
565,20,4,0.2,124,0,220
566,20,4,0.2,124,0,220
567,20,4,0.2,124,0,220
568,20,4,0.2,124,0,220
569,20,4,0.2,124,0,220
570,20,4,0.2,124,0,220
571,20,4,0.3,83,0,220
572,20,4,0.3,83,0,220
573,20,4,0.3,83,0,220
574,20,4,0.3,83,0,220
575,20,4,0.3,83,0,220
576,20,4,0.3,83,0,220
577,20,4,0.3,83,0,220
578,20,4,0.3,83,0,220
579,20,4,0.3,83,0,220
580,20,4,0.3,83,0,220
581,20,4,0.4,63,0,220
582,20,4,0.4,63,0,220
583,20,4,0.4,63,0,220
584,20,4,0.4,63,0,220
585,20,4,0.4,63,0,220
586,20,4,0.4,63,0,220
587,20,4,0.4,63,0,220
588,20,4,0.4,63,0,220
589,20,4,0.4,63,0,220
590,20,4,0.4,63,0,220
591,20,4,0.5,51,0,220
592,20,4,0.5,51,0,220
593,20,4,0.5,50,0,220
594,20,4,0.5,50,0,220
595,20,4,0.5,51,0,220
596,20,4,0.5,51,0,220
597,20,4,0.5,51,0,220
598,20,4,0.5,51,0,220
599,20,4,0.5,50,0,220
600,20,4,0.5,51,0,220
601,30,1,0.1,172,71,149
602,30,1,0.1,172,72,148
603,30,1,0.1,172,67,153
604,30,1,0.1,172,67,153
605,30,1,0.1,172,68,152
606,30,1,0.1,175,62,158
607,30,1,0.1,172,67,153
608,30,1,0.1,215,74,146
609,30,1,0.1,172,59,161
610,30,1,0.1,172,76,144
611,30,1,0.2,115,18,202
612,30,1,0.2,115,26,194
613,30,1,0.2,115,22,198
614,30,1,0.2,115,19,201
615,30,1,0.2,115,26,194
616,30,1,0.2,115,30,190
617,30,1,0.2,115,21,199
618,30,1,0.2,115,15,205
619,30,1,0.2,115,21,199
620,30,1,0.2,115,16,204
621,30,1,0.3,82,1,219
622,30,1,0.3,82,0,220
623,30,1,0.3,82,1,219
624,30,1,0.3,82,0,220
625,30,1,0.3,82,1,219
626,30,1,0.3,82,0,220
627,30,1,0.3,82,0,220
628,30,1,0.3,82,0,220
629,30,1,0.3,82,0,220
630,30,1,0.3,82,1,219
631,30,1,0.4,63,0,220
632,30,1,0.4,63,0,220
633,30,1,0.4,63,0,220
634,30,1,0.4,63,0,220
635,30,1,0.4,63,0,220
636,30,1,0.4,63,0,220
637,30,1,0.4,63,0,220
638,30,1,0.4,63,0,220
639,30,1,0.4,63,0,220
640,30,1,0.4,63,0,220
641,30,1,0.5,51,0,220
642,30,1,0.5,50,0,220
643,30,1,0.5,51,0,220
644,30,1,0.5,51,0,220
645,30,1,0.5,50,0,220
646,30,1,0.5,50,0,220
647,30,1,0.5,50,0,220
648,30,1,0.5,51,0,220
649,30,1,0.5,51,0,220
650,30,1,0.5,51,0,220
651,30,2,0.1,212,32,188
652,30,2,0.1,209,40,180
653,30,2,0.1,210,37,183
654,30,2,0.1,210,34,186
655,30,2,0.1,212,22,198
656,30,2,0.1,212,33,187
657,30,2,0.1,210,35,185
658,30,2,0.1,211,28,192
659,30,2,0.1,207,34,186
660,30,2,0.1,240,29,191
661,30,2,0.2,122,1,219
662,30,2,0.2,122,0,220
663,30,2,0.2,124,0,220
664,30,2,0.2,124,0,220
665,30,2,0.2,122,0,220
666,30,2,0.2,122,0,220
667,30,2,0.2,122,0,220
668,30,2,0.2,124,0,220
669,30,2,0.2,122,1,219
670,30,2,0.2,122,0,220
671,30,2,0.3,83,0,220
672,30,2,0.3,83,0,220
673,30,2,0.3,83,0,220
674,30,2,0.3,83,0,220
675,30,2,0.3,83,0,220
676,30,2,0.3,83,0,220
677,30,2,0.3,83,0,220
678,30,2,0.3,83,0,220
679,30,2,0.3,83,0,220
680,30,2,0.3,83,0,220
681,30,2,0.4,63,0,220
682,30,2,0.4,63,0,220
683,30,2,0.4,63,0,220
684,30,2,0.4,63,0,220
685,30,2,0.4,63,0,220
686,30,2,0.4,63,0,220
687,30,2,0.4,63,0,220
688,30,2,0.4,63,0,220
689,30,2,0.4,63,0,220
690,30,2,0.4,63,0,220
691,30,2,0.5,51,0,220
692,30,2,0.5,51,0,220
693,30,2,0.5,51,0,220
694,30,2,0.5,51,0,220
695,30,2,0.5,50,0,220
696,30,2,0.5,50,0,220
697,30,2,0.5,50,0,220
698,30,2,0.5,51,0,220
699,30,2,0.5,51,0,220
700,30,2,0.5,51,0,220
701,30,3,0.1,228,11,209
702,30,3,0.1,228,8,212
703,30,3,0.1,228,13,207
704,30,3,0.1,228,9,211
705,30,3,0.1,228,10,210
706,30,3,0.1,228,11,209
707,30,3,0.1,228,12,208
708,30,3,0.1,228,11,209
709,30,3,0.1,228,6,214
710,30,3,0.1,228,17,203
711,30,3,0.2,124,0,220
712,30,3,0.2,124,0,220
713,30,3,0.2,124,0,220
714,30,3,0.2,124,0,220
715,30,3,0.2,124,0,220
716,30,3,0.2,124,0,220
717,30,3,0.2,124,0,220
718,30,3,0.2,124,0,220
719,30,3,0.2,124,0,220
720,30,3,0.2,124,0,220
721,30,3,0.3,83,0,220
722,30,3,0.3,83,0,220
723,30,3,0.3,83,0,220
724,30,3,0.3,83,0,220
725,30,3,0.3,83,0,220
726,30,3,0.3,83,0,220
727,30,3,0.3,83,0,220
728,30,3,0.3,83,0,220
729,30,3,0.3,83,0,220
730,30,3,0.3,83,0,220
731,30,3,0.4,63,0,220
732,30,3,0.4,63,0,220
733,30,3,0.4,63,0,220
734,30,3,0.4,63,0,220
735,30,3,0.4,63,0,220
736,30,3,0.4,63,0,220
737,30,3,0.4,63,0,220
738,30,3,0.4,63,0,220
739,30,3,0.4,63,0,220
740,30,3,0.4,63,0,220
741,30,3,0.5,51,0,220
742,30,3,0.5,51,0,220
743,30,3,0.5,51,0,220
744,30,3,0.5,51,0,220
745,30,3,0.5,51,0,220
746,30,3,0.5,51,0,220
747,30,3,0.5,51,0,220
748,30,3,0.5,51,0,220
749,30,3,0.5,51,0,220
750,30,3,0.5,50,0,220
751,30,4,0.1,228,0,220
752,30,4,0.1,228,3,217
753,30,4,0.1,228,2,218
754,30,4,0.1,228,4,216
755,30,4,0.1,228,3,217
756,30,4,0.1,228,4,216
757,30,4,0.1,228,5,215
758,30,4,0.1,228,2,218
759,30,4,0.1,228,0,220
760,30,4,0.1,228,1,219
761,30,4,0.2,124,0,220
762,30,4,0.2,124,0,220
763,30,4,0.2,124,0,220
764,30,4,0.2,124,0,220
765,30,4,0.2,124,0,220
766,30,4,0.2,124,0,220
767,30,4,0.2,124,0,220
768,30,4,0.2,124,0,220
769,30,4,0.2,124,0,220
770,30,4,0.2,124,0,220
771,30,4,0.3,83,0,220
772,30,4,0.3,83,0,220
773,30,4,0.3,83,0,220
774,30,4,0.3,83,0,220
775,30,4,0.3,83,0,220
776,30,4,0.3,83,0,220
777,30,4,0.3,83,0,220
778,30,4,0.3,83,0,220
779,30,4,0.3,83,0,220
780,30,4,0.3,83,0,220
781,30,4,0.4,63,0,220
782,30,4,0.4,63,0,220
783,30,4,0.4,63,0,220
784,30,4,0.4,63,0,220
785,30,4,0.4,63,0,220
786,30,4,0.4,63,0,220
787,30,4,0.4,63,0,220
788,30,4,0.4,63,0,220
789,30,4,0.4,63,0,220
790,30,4,0.4,63,0,220
791,30,4,0.5,50,0,220
792,30,4,0.5,51,0,220
793,30,4,0.5,51,0,220
794,30,4,0.5,51,0,220
795,30,4,0.5,51,0,220
796,30,4,0.5,51,0,220
797,30,4,0.5,50,0,220
798,30,4,0.5,51,0,220
799,30,4,0.5,51,0,220
800,30,4,0.5,50,0,220
